Company,Public Or Private,Country,Industry,Description,Website,Employees (Estimate),Region,Sdg 1: Aligned,Sdg 1: Misaligned,Sdg 2: Aligned,Sdg 2: Misaligned,Sdg 3: Aligned,Sdg 3: Misaligned,Sdg 4: Aligned,Sdg 4: Misaligned,Sdg 5: Aligned,Sdg 5: Misaligned,Sdg 6: Aligned,Sdg 6: Misaligned,Sdg 7: Aligned,Sdg 7: Misaligned,Sdg 8: Aligned,Sdg 8: Misaligned,Sdg 9: Aligned,Sdg 9: Misaligned,Sdg 10: Aligned,Sdg 10: Misaligned,Sdg 11: Aligned,Sdg 11: Misaligned,Sdg 12: Aligned,Sdg 12: Misaligned,Sdg 13: Aligned,Sdg 13: Misaligned,Sdg 14: Aligned,Sdg 14: Misaligned,Sdg 15: Aligned,Sdg 15: Misaligned,B Corp,Company Size,Culture Score,Capacity Score,Conduct Score,Collaboration Score,Oracle Score,Revenue (M),Member Of Business In The Community Uk,Member Full Abpi,Net Impact Ratio,B Corp Community Impact Score,B Corp Assessment Score
TDK,Public,Japan,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0.012,0,0,0,0,0,0,0,0,0,0,0,0.472,0,0.25,0,0.556,0,0,0,0.285,0,0,0,0.19,0,0,0,0,0,0,Large,3.349285714,37.31082231,32.43987308,6.486666667,13.27771145,13129,0,0,0.797356828,,
Ordina,Public,Netherlands,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,Europe,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0.343,0,0.244,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,Small,3.428035714,38.90920705,33.98157646,3.068333333,13.27928717,405,0,0,0.90969163,,
Shenzhen Inovance Technology,Public,China,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.275,0,0.375,0,0,0,0.1,0,0,0,0.05,0,0,0,0,0,0,Medium,3.214285714,38.42033775,33.94905077,4.375,13.27951542,1095,0,0,0.881057269,,
Omron,Public,Japan,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0.11,0,0,0,0,0,0,0,0.072,0,0.308,0,0.246,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0,Medium,4.451785714,37.4272834,30.64805957,4.153333333,13.28278359,5799,0,0,0.848017621,,
Worldline,Public,France,Financial Services and Banking,No description available currently.,fr.worldline.com/fr/home.html,"18,054 (Demandbase, 2022)",Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385,0,0.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,3.214285714,39.56778268,32.5186543,4.701666667,13.28607269,3368,0,0,0.86784141,,
Ageas,Public,Belgium,Financial Services and Banking,"Ageas is a Belgian-French multinational insurance company co-headquartered in
Brussels. Ageas is Belgium's largest insurer and operates in 14 countries
worldwide. The company was renamed from Fortis Holding in April 2010 and
consists of those insurance activities remaining after the breakup and sale of the
financial services group Fortis during the financial crisis of 2007-2010. In 2020, the
company had 45,000 employees.  ...Source: Wikipedia",www.ageas.com,"10,101 (Demandbase, 2021)",Europe,0.058,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0,0.058,0,0.058,0,0,0,0.258,0,0,0,0,0,0,Large,5.734285714,34.91345082,29.60246487,3.103333333,13.2967445,14274,0,0,0.828193833,,
AmerisourceBergen/Cencora,Public,USA,Healthcare and Pharmaceuticals,"Cencora, Inc., formerly known as AmerisourceBergen, is an American drug
wholesale company that was formed by the merger of Bergen Brunswig and
AmeriSource in 2001.  ...Source: Wikipedia",www.amerisourcebergen.com/,"38,000 (Demandbase, 2021)",North America,0,0,0,0,0.418,0,0,0,,,,,,,0.319,0,0.069,0,0,0,,,,,,,,,,,0,Mega,23.29131082,4.609988986,43.52061794,0,13.29856199,221101,0,0,0.4,,
Ascom,Public,Switzerland,Telecommunications,No description available currently,No wesbite information available currently,No employee estimate available currently,Europe,0,0,0,0,0.538,0,0.067,0,0,0,0,0,0,0,0.346,0,0.058,0,0,0,0,0,0,-0.058,0,0,0,0,0,0,0,Small,3.420918367,40.87949096,29.28699917,5.977777778,13.30314529,302,0,0,0.931718062,,
iFlytek,Public,China,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0.129,0,0,0,0,0,0,0,0.377,0,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,4.665535714,37.2079295,33.30804488,1.201666667,13.3236908,2773,0,0,0.9030837,,
Imax,Public,Canada,Leisure and Recreation,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.192,0,0,0,0.096,0,0.192,0,0,0,0,0,0,0,0,Small,3.214285714,38.92750366,33.63631214,4.48,13.32442951,254,0,0,0.900881057,,
Leeno Industrial,Public,South Korea,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,0.25,0,0.474,0,0,0,0.174,0,0,0,0.149,0,0,0,0,0,0,Small,3.214285714,38.1272834,33.39805957,5.53,13.32615859,216,0,0,0.848017621,,
Federal Agricultural Mortgage,Public,USA,Financial Services and Banking,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0.227,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,3.214285714,40.34030103,32.47045311,4.246666667,13.32647026,717,0,0,0.872246696,,
SKY Perfect JSAT,Public,Japan,Media and Entertainment,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,3.214285714,38.66189429,32.57992449,5.833333333,13.32912996,1356,0,0,0.854625551,,
Virtu Financial,Public,USA,Financial Services and Banking,"Virtu Financial is an American company that provides financial services, trading products and market making services. Virtu provides product suite including offerings in execution, liquidity sourcing, analytics, broker-neutral, multi-dealer platforms in workflow technology and two-sided quotations and trades in equities, commodities, currencies, options, fixed income, and other securities on over 230 exchanges, markets, and dark pools. Virtu uses proprietary technology to trade large volumes of securities. The company went public on the Nasdaq in 2015.CollapseSource: Wikipedia",www.virtu.com/,"993 (Demandbase, 2022)",North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,0,0.018,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,Medium,7.536307178,34.5539032,26.28275569,0.42,13.33346778,2573,0,0,0.762114537,,
Software,Public,Germany,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,3.214285714,39.895837,33.73631214,3.5,13.33767951,1053,0,0,0.900881057,,
Itoham Yonekyu,Public,Japan,Consumer Goods,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0.031,-0.242,0,0,0,0,0,0,0,-0.874,0,0,0.25,0,0,0,0,0,0,0,0,0,0,-0.409,0,0,0,-0.89,0,Medium,10.10204082,26.07872245,25.84880427,0,13.34525146,6393,0,0,0.698237885,,
Mastercraft Boat,Public,USA,Consumer Goods,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.088,-0.346,0,0,0,0,0,-0.346,0,0,0,Small,10.10204082,28.41532061,23.53360604,0,13.34846145,733,0,0,0.691629956,,
Home Depot,Public,USA,Consumer Services,"The Home Depot, Inc., often simply referred to as Home Depot, is an American multinational home improvement retail corporation that sells tools, construction products, appliances, and services, including fuel and transportation rentals. Home Depot is the largest home improvement retailer in the United States. In 2021, the company had 490,600 employees and more than $151 billion in revenue. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.It operates many big-box format stores across the United States (including the District of Columbia, Guam, Puerto Rico and the U.S. Virgin Islands); all 10 provinces of Canada; and all 32 Mexican states and Mexico City. MRO company Interline Brands (now The Home Depot Pro) is also owned by The Home Depot, with 70 distribution centers across the United States. It has been involved in several controversies, primarily involving the security and safety of its consumers.It is the sixth largest United States–based employer globally.CollapseSource: Wikipedia",www.homedepot.com/,"490,600 (Demandbase, 2021)",North America,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0.25,0,0.038,0,0,0,0.054,0,0,0,0,-0.034,0,-0.017,0.045,-0.017,0,Mega,17.55614464,12.20652173,42.43651888,0,13.34856407,110225,0,0,0.711453744,,
Walsin Technology,Public,Taiwan,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0.483,0,0.25,0,0.623,0,0,0,0.433,0,0,0,0,0,0,0,0,0,0,Medium,3.214285714,37.16737885,32.78741346,7.268333333,13.35132599,1374,0,0,0.77092511,,
Brunello Cucinelli,Public,Italy,Consumer Goods,No description available currently,No wesbite information available currently,No employee estimate available currently,Europe,0,0,0,0,0,0,0,0,0,0,0,-0.226,0,0,0.25,0,0,0,0,0,0,0,0,-0.018,0,-0.054,0,0,0,0,0,Medium,10.10204082,27.38768477,24.88294524,0,13.36371695,1129,0,0,0.669603524,,
GMO Payment Gateway,Public,Japan,Financial Services and Banking,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,3.214285714,39.60643173,31.88792742,5.833333333,13.36701102,319,0,0,0.843612335,,
Bid,Public,South Africa,Consumer Services,No description available currently,No wesbite information available currently,No employee estimate available currently,Africa,0,0,0.279,-0.084,0,-0.168,0,0,0,0,0,-0.013,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,-0.058,0,-0.017,0,Medium,8.122040816,32.13739109,29.3297147,0,13.37918832,9181,0,0,0.784140969,,
Camden Property,Public,USA,Real Estate,"Camden Property Trust, an S&P 400 Company, is one of the largest publicly traded multifamily companies in the United States. Structured as a real estate investment trust (REIT), the company is primarily engaged in the ownership, management, development, redevelopment, acquisition, and construction of multifamily apartment communities. Camden's workforce totals approximately 1,600 employees, and the company is headquartered in Houston, Texas. As of December 31, 2019, the company owned interests in 172 apartment communities containing 58,315 apartment units.CollapseSource: Wikipedia",www.camdenliving.com/,"1,650 (Demandbase, 2022)",North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.313,0,0,0,0,0,0,0,0,0,0,Medium,8.814098342,32.53391325,24.34774387,0,13.38000266,1352,0,0,0.746696035,,
Glodon,Public,China,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0.1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,Small,3.214285714,38.71842878,37.53697294,1.166666667,13.3811674,513,0,0,0.922907489,,
Tv18 Broadcast,Public,India,Media and Entertainment,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,5.464285714,35.14133628,34.0652402,0,13.38634361,645,0,0,0.920704846,,
JBG SMITH Properties,Public,USA,Real Estate,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.218,0,0,-0.158,0,0,0,0,0,0,0,Small,7.41661042,35.51047207,28.30222351,0,13.38770674,612,0,0,0.81938326,,
Fast retailing,Public,Japan,Consumer Services,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.267,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016,0,Large,10.10204082,27.44615762,24.77281309,0,13.38896806,18690,0,0,0.665198238,,
Vishay Intertechnology,Public,USA,Technology,"Vishay Intertechnology, Inc. is an American manufacturer of discrete semiconductors and passive electronic components founded by Polish-born businessman Felix Zandman. Vishay has manufacturing plants in Israel, Asia, Europe, and the Americas where it produces rectifiers, diodes, MOSFETs, optoelectronics, selected integrated circuits, resistors, capacitors, and inductors. Vishay Intertechnology revenues for 2022 were $3.5 billion. As of December 31, 2022, Vishay Intertechnology had approximately 23,900 full-time employees.Vishay is one of the world's foremost manufacturers of power MOSFETs. They have a wide range of power electronic applications, including portable information appliances, internet communications infrastructure,  power integrated circuits, cell phones, and notebook computers.CollapseSource: Wikipedia",www.vishay.com/,"22,800 (Demandbase, 2021)",North America,0.04,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.25,0,0.519,0,0,0,0.113,0,0,0,0.079,0,0,0,0,0,0,Medium,3.664285714,37.65008077,32.21553388,6.055,13.40344934,3374,0,0,0.81938326,,
IOI,Public,Malaysia,Consumer Goods,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0.699,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.601,0,Medium,10.10204082,31.38596671,20.9673799,0,13.40912444,3626,0,0,0.539647577,,
Pagerduty,Public,USA,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0,0.214,0,0,0,0,0,0.071,0,0,0,0,0,0,0,0,Small,3.214285714,40.40048457,33.90510802,3.325,13.41244603,244,0,0,0.916299559,,
SPS Commerce,Public,USA,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,3.214285714,38.8499486,33.964249,4.865,13.41973678,432,0,0,0.887665198,,
Progress Software,Public,USA,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442,0,0.332,0,0,0,0,0,0,-0.031,0,0,0,0,0,0,0,Small,3.214285714,40.19917033,34.00297881,3.511666667,13.42492951,602,0,0,0.900881057,,
Royal Caribbean Cruises,Public,USA,Leisure and Recreation,"Royal Caribbean Group, formerly known as Royal Caribbean Cruises Ltd., is a global cruise holding company incorporated in Liberia and based in Miami, Florida. It is the world's second-largest cruise line operator, after Carnival Corporation & plc. As of January 2021, Royal Caribbean Group fully owns three cruise lines: Royal Caribbean International, Celebrity Cruises, and Silversea Cruises. They hold a 50% stake in TUI Cruises and Hapag-Lloyd Cruises, also the now-defunct Pullmantur Cruises and CDF Croisières de France.CollapseSource: Wikipedia",www.rclcorporate.com/,"102,500 (Demandbase, 2022)",North America,0,-0.019,0,0,0.019,-0.062,0,0,0,0,0,-0.034,0,0,0.259,0,0,0,0,0,0,-0.307,0,0,0,-0.307,0,0,0,0,0,Medium,7.108487995,33.25823392,23.06294891,7.116225753,13.42527968,1532,0,0,0.801762115,,
Interconexion Electrica,Public,Colombia,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,South America,0,0,0,0,0,0,0,0,0,0,0,0,0.57,-0.095,0.25,0,0.5,-0.095,0,0,0.238,-0.131,0,0,0.285,-0.095,0,0,0,-0.145,0,Medium,3.214285714,38.55576359,34.47911685,4.725,13.43183921,2924,0,0,0.883259912,,
Oracle Corporation Japan,Public,Japan,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405,0,0.298,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0,Medium,3.214285714,40.15250366,33.71964547,3.896666667,13.43317951,1669,0,0,0.900881057,,
Vista Outdoor,Public,USA,Consumer Goods,"Vista Outdoor Inc. is an American designer, manufacturer, and marketer of outdoor
sports and recreation products. It operates in two markets: shooting sports and
outdoor products. It is a ""house of brands"" with more than 40 labels and
subsidiaries. It trades under ""VSTO"" on the New York Stock Exchange. Vista
Outdoor is the parent company to many ammunition makers, including Federal,
CCI, and Remington.  ...Source: Wikipedia",www.vistaoutdoor.com,"6,900 (Demandbase, 2022)",North America,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0.252,0,0.013,0,0,0,0.021,0,0,0,0,0,0,-0.026,0,-0.198,0,Medium,10.37311224,26.94143907,24.14535348,0.44,13.43423062,3188,0,0,0.63876652,,
Compal Electronics,Public,Taiwan,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0.027,0,0.179,0,0,0,0,0,0,0,0.263,0,0.321,0,0,0,0,0,0,-0.205,0,0,0,0,0,0,0,Large,5.531785714,34.80274596,32.85672331,1.668333333,13.44165253,43103,0,0,0.859030837,,
Power Corporation of Canada,Public,Canada,Financial Services and Banking,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0.196,0,0,0,0,0,0,0,0,0,0.283,0,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Large,5.419285714,36.79820852,29.92372037,3.045,13.44564648,39595,0,0,0.870044053,,
Nintendo,Public,Japan,Consumer Goods,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,-0.242,0,0,0,0,0,0,0,Large,10.10204082,27.63815958,27.92039019,0,13.44623825,12451,0,0,0.751101322,,
China Everbright,Public,China,Financial Services and Banking,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0.131,0,0,0,0,0,0.03,0,0.017,0,0.278,0,0.156,0,0,0,0.08,-0.013,0.1,0,0,-0.02,0.02,0,0,0,0,Large,4.688035714,37.67022762,30.27159116,4.515,13.44694246,46957,0,0,0.854625551,,
Avid Technology,Public,USA,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0.437,0,0.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,3.506785714,39.89722468,34.78730334,2.111666667,13.44816135,419,0,0,0.933920705,,
Orthex,Public,Finland,Consumer Goods,No description available currently,No wesbite information available currently,No employee estimate available currently,Europe,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.021,0,0,0,0.01,0,0.085,-0.185,0,0,0,-0.162,0.011,0,0,Small,10.10204082,28.22886442,25.38981016,0,13.4540903,101,0,0,0.676211454,,
E. W. Scripps,Public,USA,Media and Entertainment,"The E. W. Scripps Company is an American broadcasting company founded in 1878 as a chain of daily newspapers by Edward Willis ""E. W."" Scripps and his sister, Ellen Browning Scripps. It was also formerly a media conglomerate. The company is headquartered at the Scripps Center in Cincinnati, Ohio. Its corporate motto is ""Give light and the people will find their own way"", which is symbolized by the media empire's longtime lighthouse logo.In terms of market reach, Scripps is the second largest operator of ABC affiliates, behind the Sinclair Broadcast Group, and ahead of Hearst Television and Tegna. Scripps also owns a number of free-to-air multi-genre digital subchannel multicast networks through its Scripps Networks division, including the Ion Television network and Scripps News.CollapseSource: Wikipedia",www.scripps.com/,"5,900 (Demandbase, 2020)",North America,0,0,0,0,0,0,0.225,0,0,0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,5.745535714,35.12211455,33.52651039,0,13.45733838,1711,0,0,0.907488987,,
ASOS.com,Public,France,Consumer Services,"ASOS plc ( AY-soss) is a British online fashion and cosmetic retailer. The company was founded in 2000 in London, primarily aimed at young adults. The website sells over 850 brands as well as its own range of clothing and accessories, and ships to all 196 countries from fulfilment centres in the United Kingdom, the United States, and Europe.ASOS originally stood for AsSeenOnScreen with the tagline ""Buy what you see on film and TV"" because it exclusively sold imitations of clothing from those mediums (for example, Brad Pitt's red leather jacket from the 1999 film Fight Club).ASOS' headquarters are in Camden Town, at Greater London House, with additional offices in Berlin and Birmingham. As of 2013, their main fulfilment centre is in Barnsley, South Yorkshire, where they employ 3,500 workers. The customer care department is based in Leavesden. The Danish company Bestseller A/S, owned by the business magnate Anders Holch Povlsen, is ASOS' largest stakeholder, with a 26% share.The company is listed on the London Stock Exchange.CollapseSource: Wikipedia",www.asos.com/,"3,017 (Demandbase, 2021)",Europe,0,0,0,0,0.016,0,0,0,0,0,0,-0.269,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,10.29061224,27.31865883,24.46921543,0.195555556,13.45735121,5203,0,0,0.656387665,,
Acer,Public,Taiwan,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0.083,0,0.124,0,0,0,0,0,0.041,0,0.263,0,0.274,0,0,0,0.041,0,0,-0.124,0,0,0,0,0,0,0,Medium,5.543035714,35.31309839,31.37959409,2.718333333,13.46032352,9715,0,0,0.843612335,,
Jiangsu Hengrui Medicine,Public,Portugal,Healthcare and Pharmaceuticals,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0.078,-0.013,0.026,-0.045,0.016,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Large,19.09247449,4.625,15.41785714,0,13.46770621,25026,0,0,,,
DHC Software,Public,China,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0.309,0,0.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,3.731785714,38.87168871,33.68811098,3.581666667,13.4737021,1632,0,0,0.905286344,,
Secunet Security Networks,Public,Germany,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,Europe,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0.393,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,3.619285714,39.64122615,33.20444725,3.756666667,13.48095815,346,0,0,0.894273128,,
SBI Life Insurance,Public,India,Financial Services and Banking,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0.085,0,0,0,0.082,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.085,0,0,0,0,0,0,0,0,0,0,0,0,Medium,6.049285714,34.32487519,31.42372037,1.948333333,13.48164648,9123,0,0,0.870044053,,
Woolworths,Public,Australia,Consumer Services,No description available currently,No wesbite information available currently,No employee estimate available currently,Oceania,0,0,0.107,0,0,-0.098,0,0,0,0,0,-0.089,0,0,0.25,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,-0.018,0,Large,8.947040816,30.54441017,27.72692468,0,13.48190601,42041,0,0,0.746696035,,
Tilly's,Public,USA,Consumer Services,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,-0.133,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017,0,Small,10.10204082,27.76921196,25.07641075,0,13.48296586,683,0,0,0.674008811,,
Hotel Shilla,Public,South Korea,Consumer Services,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.052,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,10.10204082,27.76921196,25.07641075,0,13.48296586,3085,0,0,0.674008811,,
Blackbaud,Public,USA,Technology,No description available currently.,www.blackbaud.com/,"3,200 (Demandbase, 2022)",North America,0.188,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,5.678035714,34.95122615,34.29611391,0,13.51002065,1031,0,0,0.894273128,,
Puregold Price Club,Public,Philippines,Consumer Services,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0.031,-0.016,0.016,-0.063,0.016,0,0,0,0,-0.109,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031,0,Medium,9.736683673,28.58955457,26.36906859,0,13.51280283,3121,0,0,0.707048458,,
Kaltura,Public,Israel,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0.393,0,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,4.823035714,37.56091044,34.04350746,0.828333333,13.51758233,169,0,0,0.918502203,,
Tod's,Public,Italy,Consumer Goods,No description available currently,No wesbite information available currently,No employee estimate available currently,Europe,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,0,0.25,0,0,0,0,0,0,0,0,0,0,-0.053,0,0,0,-0.017,0,Medium,10.10204082,27.93073911,25.1865429,0,13.52371475,1025,0,0,0.678414097,,
BlackBerry,Public,Canada,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0.042,0,0.015,0,0,0,0,0,0,0,0.427,0,0.25,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,Small,3.855535714,39.53370777,33.08598174,3.406666667,13.52449807,690,0,0,0.889867841,,
Credit Acceptance,Public,USA,Financial Services and Banking,No description available currently.,www.creditacceptance.com/,"2,073 (Demandbase, 2021)",North America,0.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,9.70090331,32.02044649,22.58364774,0,13.52611095,1837,0,0,0.68722467,,
Umb Financial,Public,USA,Financial Services and Banking,No description available currently.,www.umb.com/,"3,529 (Demandbase, 2021)",North America,0.044,0,0.044,0,0.044,0,0,0,0,0,0,0,0,0,0.25,0,0.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,4.204285714,38.01267255,31.61619468,5.133333333,13.52668723,1468,0,0,0.841409692,,
Enghouse Systems,Public,Canada,Technology,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0.307,0,0.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,3.518035714,39.07161526,33.789249,4.421666667,13.52729928,315,0,0,0.887665198,,
International Paper,Public,USA,Industrial and Manufacturing,"The International Paper Company is an American pulp and paper company, the
largest such company in the world. It has approximately 56,000 employees, and is
headquartered in Memphis, Tennessee.  ...Source: Wikipedia",www.internationalpaper.com/,"39,000 (Demandbase, 2022)",North America,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.046,0,0,0,0.023,0,0.112,0,0,0,0,0,0,0,0,Large,9.534281785,31.36418192,22.47670964,1.58,13.55698872,19363,0,0,0.77092511,,
El Pollo Loco,Public,USA,Consumer Services,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0.176,-0.059,0,-0.059,0,0,0,0,0,-0.117,0,0,0.25,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,-0.059,0,Small,9.406683673,30.04976017,26.98132998,0,13.56517288,463,0,0,0.726872247,,
Tata Consumer Products,Public,India,Consumer Goods,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0.091,-0.091,0,-0.091,0,0,0,0,0,-0.345,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,9.029540816,29.96829664,28.50078667,0,13.56977661,1677,0,0,0.764317181,,
Sky UK,Public,United Kingdom,Media and Entertainment,No description available currently.,www.sky.com/,"34,335 (Annual report, 2021)",Great Britain & Ireland,0,0,0,0,0,0,0.073,0,0,0,0,0,0,0,0.25,0,0.229,0,0,0,0,0,0,-0.042,0,0,0,0,0,0,0,Large,10.96239796,19.75875,16.02321429,14.50777778,13.57278019,19436,1,0,,,
